id	label	category	prompt	guide_kind	temperature	top_k	cfg_musiccoca	cfg_notes	cfg_drums
011_obsidian_filter_lake	Obsidian Filter Lake	analog_drone	Create an original beatless ambient synthesizer texture called Obsidian Filter Lake. A continuous low-register detuned modular VCO stack low analog drone with slow phase beating and continuous harmonic or noise movement. Add warm saturation, tape delay smear, and a stable plate reverb tail with a wide stable stereo field. The sound should feel like subterranean pressure and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.580	36	7.400	6.500	0.000
012_glass_phase_weather	Glass Phase Weather	spectral_pad	Create an original beatless ambient synthesizer texture called Glass Phase Weather. A continuous mid-register high-mid wavetable and additive sine cloud luminous spectral pad with phase smear across upper harmonics and continuous harmonic or noise movement. Add shimmer reverb, transparent chorus, and resonant high-pass air with slow pan diffusion. The sound should feel like weightless cinema and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.640	56	7.100	6.200	0.000
013_charcoal_sub_horizon	Charcoal Sub Horizon	cinema_noise	Create an original beatless ambient synthesizer texture called Charcoal Sub Horizon. A wide full-register filtered broadband noise and subharmonic pressure dark cinematic noise bed with low shelf pressure rising without hits and continuous harmonic or noise movement. Add dark notch filtering, soft clipping, and a long metallic tail with a centered low end and wide upper reflections. The sound should feel like black smoke and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.820	88	7.300	3.800	0.000
014_frozen_circuit_rain	Frozen Circuit Rain	granular_glitch	Create an original beatless ambient synthesizer texture called Frozen Circuit Rain. A soft high-mid frozen buffer and broken resampling layer continuous granular glitch sustain with tiny buffer slips without a beat grid and continuous harmonic or noise movement. Add short freeze delay, spectral blur, and wide unstable reflections with large distant-room depth. The sound should feel like fragile malfunction and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	granular_glitch	0.960	124	6.700	3.200	0.000
015_chrome_bell_cloud	Chrome Bell Cloud	metallic_cloud	Create an original beatless ambient synthesizer texture called Chrome Bell Cloud. A deep low-mid FM partials, ring-modulated sines, and tuned resonators metallic harmonic cloud with long metallic overtones folding inward and continuous harmonic or noise movement. Add soft clipping, ring shimmer, and wide reflective space with close dry center with a long rear tail. The sound should feel like quiet industrial light and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	metallic	0.740	82	7.000	5.600	0.000
016_random_voltage_garden	Random Voltage Garden	modular_feedback	Create an original beatless ambient synthesizer texture called Random Voltage Garden. A continuous low-register resonant filter feedback network and wavefolder self-balancing modular feedback patch with feedback hovering below instability and continuous harmonic or noise movement. Add folded harmonics, low-pass damping, and wide feedback delay with a wide stable stereo field. The sound should feel like unstable voltage and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.780	70	7.200	4.800	0.000
017_cassette_organ_glow	Cassette Organ Glow	tape_loop	Create an original beatless ambient synthesizer texture called Cassette Organ Glow. A continuous mid-register old string machine, soft organ, and saturated tape loop warped tape-loop pad with slow tape-head color drift and continuous harmonic or noise movement. Add old preamp noise, chorus ensemble, and long velvet reverb with slow pan diffusion. The sound should feel like warm nocturne and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.540	32	7.500	6.800	0.000
018_dust_aurora	Dust Aurora	air_dust	Create an original beatless ambient synthesizer texture called Dust Aurora. A wide full-register filtered hiss, bowed noise, and soft harmonic air high air and dust layer with noise grains thinning and thickening and continuous harmonic or noise movement. Add bowed-noise filtering, transparent compression, and a long room tail with a centered low end and wide upper reflections. The sound should feel like distant atmosphere and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.860	104	6.800	2.800	0.000
019_drawbar_night_sheet	Drawbar Night Sheet	organ_sustain	Create an original beatless ambient synthesizer texture called Drawbar Night Sheet. A soft high-mid stacked sine oscillators and soft drawbar-like partials steady electronic organ sustain with subtle ensemble thickness and continuous harmonic or noise movement. Add subtle tape color, anti-click smoothing, and clear sustained space with large distant-room depth. The sound should feel like still harmony and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.500	28	7.600	6.900	0.000
020_bowed_metal_atmosphere	Bowed Metal Atmosphere	electroacoustic_resonance	Create an original beatless ambient synthesizer texture called Bowed Metal Atmosphere. A deep low-mid processed bowed metal, contact-mic hum, and resonator bank electroacoustic resonant field with small spectral resonances appearing and disappearing and continuous harmonic or noise movement. Add bowed-metal diffusion, slow EQ tilt, and long reflective tails with close dry center with a long rear tail. The sound should feel like concrete resonance and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	metallic	0.880	112	6.900	4.400	0.000
021_violet_oscillator_tide	Violet Oscillator Tide	analog_drone	Create an original beatless ambient synthesizer texture called Violet Oscillator Tide. A continuous low-register detuned modular VCO stack low analog drone with slow phase beating and continuous harmonic or noise movement. Add warm saturation, tape delay smear, and a stable plate reverb tail with a wide stable stereo field. The sound should feel like slow voltage weather and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.580	36	7.400	6.500	0.000
022_prism_wavetable_snow	Prism Wavetable Snow	spectral_pad	Create an original beatless ambient synthesizer texture called Prism Wavetable Snow. A continuous mid-register high-mid wavetable and additive sine cloud luminous spectral pad with phase smear across upper harmonics and continuous harmonic or noise movement. Add shimmer reverb, transparent chorus, and resonant high-pass air with slow pan diffusion. The sound should feel like floating glass and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.640	56	7.100	6.200	0.000
023_asphalt_noise_tide	Asphalt Noise Tide	cinema_noise	Create an original beatless ambient synthesizer texture called Asphalt Noise Tide. A wide full-register filtered broadband noise and subharmonic pressure dark cinematic noise bed with low shelf pressure rising without hits and continuous harmonic or noise movement. Add dark notch filtering, soft clipping, and a long metallic tail with a centered low end and wide upper reflections. The sound should feel like large empty room and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.820	88	7.300	3.800	0.000
024_granular_static_bloom	Granular Static Bloom	granular_glitch	Create an original beatless ambient synthesizer texture called Granular Static Bloom. A soft high-mid frozen buffer and broken resampling layer continuous granular glitch sustain with tiny buffer slips without a beat grid and continuous harmonic or noise movement. Add short freeze delay, spectral blur, and wide unstable reflections with large distant-room depth. The sound should feel like frozen circuitry and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	granular_glitch	0.960	124	6.700	3.200	0.000
025_nickel_resonator_sky	Nickel Resonator Sky	metallic_cloud	Create an original beatless ambient synthesizer texture called Nickel Resonator Sky. A deep low-mid FM partials, ring-modulated sines, and tuned resonators metallic harmonic cloud with long metallic overtones folding inward and continuous harmonic or noise movement. Add soft clipping, ring shimmer, and wide reflective space with close dry center with a long rear tail. The sound should feel like bronze mist and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	metallic	0.740	82	7.000	5.600	0.000
026_folded_feedback_fog	Folded Feedback Fog	modular_feedback	Create an original beatless ambient synthesizer texture called Folded Feedback Fog. A continuous low-register resonant filter feedback network and wavefolder self-balancing modular feedback patch with feedback hovering below instability and continuous harmonic or noise movement. Add folded harmonics, low-pass damping, and wide feedback delay with a wide stable stereo field. The sound should feel like alive machinery and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.780	70	7.200	4.800	0.000
027_oxide_tape_horizon	Oxide Tape Horizon	tape_loop	Create an original beatless ambient synthesizer texture called Oxide Tape Horizon. A continuous mid-register old string machine, soft organ, and saturated tape loop warped tape-loop pad with slow tape-head color drift and continuous harmonic or noise movement. Add old preamp noise, chorus ensemble, and long velvet reverb with slow pan diffusion. The sound should feel like soft magnetic haze and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.540	32	7.500	6.800	0.000
028_hiss_halo	Hiss Halo	air_dust	Create an original beatless ambient synthesizer texture called Hiss Halo. A wide full-register filtered hiss, bowed noise, and soft harmonic air high air and dust layer with noise grains thinning and thickening and continuous harmonic or noise movement. Add bowed-noise filtering, transparent compression, and a long room tail with a centered low end and wide upper reflections. The sound should feel like silver dust and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.860	104	6.800	2.800	0.000
029_soft_sine_monolith	Soft Sine Monolith	organ_sustain	Create an original beatless ambient synthesizer texture called Soft Sine Monolith. A soft high-mid stacked sine oscillators and soft drawbar-like partials steady electronic organ sustain with subtle ensemble thickness and continuous harmonic or noise movement. Add subtle tape color, anti-click smoothing, and clear sustained space with large distant-room depth. The sound should feel like pure sustained light and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.500	28	7.600	6.900	0.000
030_contact_mic_nebula	Contact Mic Nebula	electroacoustic_resonance	Create an original beatless ambient synthesizer texture called Contact Mic Nebula. A deep low-mid processed bowed metal, contact-mic hum, and resonator bank electroacoustic resonant field with small spectral resonances appearing and disappearing and continuous harmonic or noise movement. Add bowed-metal diffusion, slow EQ tilt, and long reflective tails with close dry center with a long rear tail. The sound should feel like tactile atmosphere and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	metallic	0.880	112	6.900	4.400	0.000
031_dusk_vco_plain	Dusk VCO Plain	analog_drone	Create an original beatless ambient synthesizer texture called Dusk VCO Plain. A continuous low-register detuned modular VCO stack low analog drone with slow phase beating and continuous harmonic or noise movement. Add warm saturation, tape delay smear, and a stable plate reverb tail with a wide stable stereo field. The sound should feel like heavy fog and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.580	36	7.400	6.500	0.000
032_white_spectral_meadow	White Spectral Meadow	spectral_pad	Create an original beatless ambient synthesizer texture called White Spectral Meadow. A continuous mid-register high-mid wavetable and additive sine cloud luminous spectral pad with phase smear across upper harmonics and continuous harmonic or noise movement. Add shimmer reverb, transparent chorus, and resonant high-pass air with slow pan diffusion. The sound should feel like cold aurora and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.640	56	7.100	6.200	0.000
033_black_convolution_sea	Black Convolution Sea	cinema_noise	Create an original beatless ambient synthesizer texture called Black Convolution Sea. A wide full-register filtered broadband noise and subharmonic pressure dark cinematic noise bed with low shelf pressure rising without hits and continuous harmonic or noise movement. Add dark notch filtering, soft clipping, and a long metallic tail with a centered low end and wide upper reflections. The sound should feel like cinematic tension and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.820	88	7.300	3.800	0.000
034_cracked_freeze_tail	Cracked Freeze Tail	granular_glitch	Create an original beatless ambient synthesizer texture called Cracked Freeze Tail. A soft high-mid frozen buffer and broken resampling layer continuous granular glitch sustain with tiny buffer slips without a beat grid and continuous harmonic or noise movement. Add short freeze delay, spectral blur, and wide unstable reflections with large distant-room depth. The sound should feel like electric dust and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	granular_glitch	0.960	124	6.700	3.200	0.000
035_iron_partial_drift	Iron Partial Drift	metallic_cloud	Create an original beatless ambient synthesizer texture called Iron Partial Drift. A deep low-mid FM partials, ring-modulated sines, and tuned resonators metallic harmonic cloud with long metallic overtones folding inward and continuous harmonic or noise movement. Add soft clipping, ring shimmer, and wide reflective space with close dry center with a long rear tail. The sound should feel like chromatic pressure and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	metallic	0.740	82	7.000	5.600	0.000
036_self_oscillation_room	Self Oscillation Room	modular_feedback	Create an original beatless ambient synthesizer texture called Self Oscillation Room. A continuous low-register resonant filter feedback network and wavefolder self-balancing modular feedback patch with feedback hovering below instability and continuous harmonic or noise movement. Add folded harmonics, low-pass damping, and wide feedback delay with a wide stable stereo field. The sound should feel like slow feedback weather and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.780	70	7.200	4.800	0.000
037_magnetic_chorus_field	Magnetic Chorus Field	tape_loop	Create an original beatless ambient synthesizer texture called Magnetic Chorus Field. A continuous mid-register old string machine, soft organ, and saturated tape loop warped tape-loop pad with slow tape-head color drift and continuous harmonic or noise movement. Add old preamp noise, chorus ensemble, and long velvet reverb with slow pan diffusion. The sound should feel like faded memory and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.540	32	7.500	6.800	0.000
038_bowed_airline	Bowed Airline	air_dust	Create an original beatless ambient synthesizer texture called Bowed Airline. A wide full-register filtered hiss, bowed noise, and soft harmonic air high air and dust layer with noise grains thinning and thickening and continuous harmonic or noise movement. Add bowed-noise filtering, transparent compression, and a long room tail with a centered low end and wide upper reflections. The sound should feel like open air and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.860	104	6.800	2.800	0.000
039_pure_organ_fog	Pure Organ Fog	organ_sustain	Create an original beatless ambient synthesizer texture called Pure Organ Fog. A soft high-mid stacked sine oscillators and soft drawbar-like partials steady electronic organ sustain with subtle ensemble thickness and continuous harmonic or noise movement. Add subtle tape color, anti-click smoothing, and clear sustained space with large distant-room depth. The sound should feel like held electronic breath and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.500	28	7.600	6.900	0.000
040_tuned_stone_resonance	Tuned Stone Resonance	electroacoustic_resonance	Create an original beatless ambient synthesizer texture called Tuned Stone Resonance. A deep low-mid processed bowed metal, contact-mic hum, and resonator bank electroacoustic resonant field with small spectral resonances appearing and disappearing and continuous harmonic or noise movement. Add bowed-metal diffusion, slow EQ tilt, and long reflective tails with close dry center with a long rear tail. The sound should feel like museum machinery and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	metallic	0.880	112	6.900	4.400	0.000
041_midnight_ladder_drift	Midnight Ladder Drift	analog_drone	Create an original beatless ambient synthesizer texture called Midnight Ladder Drift. A continuous low-register detuned modular VCO stack low analog drone with slow phase beating and continuous harmonic or noise movement. Add warm saturation, tape delay smear, and a stable plate reverb tail with a wide stable stereo field. The sound should feel like subterranean pressure and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.580	36	7.400	6.500	0.000
042_halo_formant_cloud	Halo Formant Cloud	spectral_pad	Create an original beatless ambient synthesizer texture called Halo Formant Cloud. A continuous mid-register high-mid wavetable and additive sine cloud luminous spectral pad with phase smear across upper harmonics and continuous harmonic or noise movement. Add shimmer reverb, transparent chorus, and resonant high-pass air with slow pan diffusion. The sound should feel like weightless cinema and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.640	56	7.100	6.200	0.000
043_smoke_bandpass_floor	Smoke Bandpass Floor	cinema_noise	Create an original beatless ambient synthesizer texture called Smoke Bandpass Floor. A wide full-register filtered broadband noise and subharmonic pressure dark cinematic noise bed with low shelf pressure rising without hits and continuous harmonic or noise movement. Add dark notch filtering, soft clipping, and a long metallic tail with a centered low end and wide upper reflections. The sound should feel like black smoke and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.820	88	7.300	3.800	0.000
044_broken_sampler_sheet	Broken Sampler Sheet	granular_glitch	Create an original beatless ambient synthesizer texture called Broken Sampler Sheet. A soft high-mid frozen buffer and broken resampling layer continuous granular glitch sustain with tiny buffer slips without a beat grid and continuous harmonic or noise movement. Add short freeze delay, spectral blur, and wide unstable reflections with large distant-room depth. The sound should feel like fragile malfunction and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	granular_glitch	0.960	124	6.700	3.200	0.000
045_copper_ring_mist	Copper Ring Mist	metallic_cloud	Create an original beatless ambient synthesizer texture called Copper Ring Mist. A deep low-mid FM partials, ring-modulated sines, and tuned resonators metallic harmonic cloud with long metallic overtones folding inward and continuous harmonic or noise movement. Add soft clipping, ring shimmer, and wide reflective space with close dry center with a long rear tail. The sound should feel like quiet industrial light and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	metallic	0.740	82	7.000	5.600	0.000
046_cv_weather_shelf	CV Weather Shelf	modular_feedback	Create an original beatless ambient synthesizer texture called CV Weather Shelf. A continuous low-register resonant filter feedback network and wavefolder self-balancing modular feedback patch with feedback hovering below instability and continuous harmonic or noise movement. Add folded harmonics, low-pass damping, and wide feedback delay with a wide stable stereo field. The sound should feel like unstable voltage and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	analog_drone	0.780	70	7.200	4.800	0.000
047_worn_loop_chapel	Worn Loop Chapel	tape_loop	Create an original beatless ambient synthesizer texture called Worn Loop Chapel. A continuous mid-register old string machine, soft organ, and saturated tape loop warped tape-loop pad with slow tape-head color drift and continuous harmonic or noise movement. Add old preamp noise, chorus ensemble, and long velvet reverb with slow pan diffusion. The sound should feel like warm nocturne and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.540	32	7.500	6.800	0.000
048_highpass_dust_garden	Highpass Dust Garden	air_dust	Create an original beatless ambient synthesizer texture called Highpass Dust Garden. A wide full-register filtered hiss, bowed noise, and soft harmonic air high air and dust layer with noise grains thinning and thickening and continuous harmonic or noise movement. Add bowed-noise filtering, transparent compression, and a long room tail with a centered low end and wide upper reflections. The sound should feel like distant atmosphere and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	cinema_noise	0.860	104	6.800	2.800	0.000
049_stacked_sine_chapel	Stacked Sine Chapel	organ_sustain	Create an original beatless ambient synthesizer texture called Stacked Sine Chapel. A soft high-mid stacked sine oscillators and soft drawbar-like partials steady electronic organ sustain with subtle ensemble thickness and continuous harmonic or noise movement. Add subtle tape color, anti-click smoothing, and clear sustained space with large distant-room depth. The sound should feel like still harmony and evolve continuously as a sustained environment, not a beat, song section, or lead melody. Avoid drums, percussion, vocals, arpeggios, sequencer patterns, rhythmic pulses, EDM drops, sudden cuts, fade-outs, and silence.	spectral_pad	0.500	28	7.600	6.900	0.000
